@relation traind

@attribute MEAN numeric
@attribute MAXF numeric
@attribute MINF numeric
@attribute RANGEF numeric
@attribute KURT numeric
@attribute SKEW numeric
@attribute F_Label {0,1,2,3,4,5,6,7,8}

@data
0.980412,1.112366,0.761795,0.350571,4.639305,0.972477,0
1.188238,1.52092,0.677109,0.843811,-1.683567,-0.023922,0
5.983362,6.171036,5.626297,0.544739,0.475852,0.637327,0
0.808851,0.962067,0.515747,0.44632,4.084227,0.91317,0
1.255738,1.404572,0.955582,0.44899,5.269108,1.441996,0
2.38739,2.737808,1.695633,1.042175,0.423289,-1.248119,0
1.307512,1.469803,1.056671,0.413132,1.043007,0.647809,0
11.298539,11.563492,11.047745,0.515747,-0.67399,0.358666,0
0.970299,1.112366,0.788498,0.323868,3.842025,1.02152,0
0.78692,0.933075,0.507355,0.42572,4.756297,1.079177,0
11.362631,11.711121,11.094666,0.616455,-0.677721,0.506433,0
6.006391,6.175613,5.699158,0.476456,0.309095,-0.409407,0
1.796407,2.008057,1.421738,0.586319,-1.079551,0.081826,0
1.682977,1.834106,1.344681,0.489426,-1.076433,0.218345,0
1.687094,1.834106,1.376343,0.457764,-1.209857,0.012407,0
5.3335,5.460739,5.078888,0.381851,-0.223124,0.640457,0
1.655331,1.791382,1.320267,0.471115,3.125911,0.710984,0
1.298437,1.469803,0.912094,0.557709,2.006585,0.985991,0
5.39584,5.540085,5.158234,0.381851,-1.220247,0.221436,0
5.631146,5.950928,5.375671,0.575256,-0.29277,0.734977,0
0.765856,0.905228,0.489426,0.415802,3.203914,0.898983,0
5.342067,5.460739,5.078888,0.381851,-0.870872,0.515731,0
1.338779,1.570511,1.058197,0.512314,0.111849,0.897056,0
6.056638,6.266403,5.833054,0.43335,-0.434457,0.523479,0
11.212649,11.406326,10.982895,0.423431,-0.159083,0.638685,0
1.300236,1.469803,0.912094,0.557709,1.688927,0.880371,0
6.100632,6.27594,5.789948,0.485992,-0.461309,-0.424703,0
11.335254,11.608887,11.074448,0.534439,-0.839283,0.425859,0
5.644728,5.950928,5.375671,0.575256,-0.681372,0.499907,0
11.193515,11.346817,10.982895,0.363922,-0.339558,0.295046,0
5.450977,5.620193,5.205154,0.415039,-0.772965,0.053325,0
0.779037,0.905228,0.489426,0.415802,5.530881,1.141195,0
0.980501,1.112366,0.761795,0.350571,4.659013,0.97339,0
11.420395,11.742783,11.168289,0.574493,-1.194882,0.418326,0
1.654163,1.768875,1.320267,0.448608,3.745598,0.840542,0
0.963701,1.111984,0.727844,0.38414,7.03541,1.355525,0
0.790616,0.933075,0.58136,0.351715,3.73797,1.017865,0
1.258094,1.411057,0.930023,0.481033,6.052616,1.416624,0
0.855442,1.018524,0.615311,0.403214,-0.073846,0.195594,0
1.319789,1.503754,1.058197,0.445557,2.566135,0.998323,0
0.980081,1.112366,0.761795,0.350571,4.528209,0.969106,0
0.979056,1.112366,0.761795,0.350571,4.036025,0.910695,0
0.971657,1.112366,0.788498,0.323868,3.757609,1.003422,0
1.281838,1.433563,0.912094,0.521469,4.86787,1.119962,0
5.34502,5.460739,5.078888,0.381851,-1.055179,0.39804,0
0.812727,0.962067,0.515747,0.44632,4.621766,1.064593,0
5.320252,5.460739,5.078888,0.381851,-0.123867,0.195169,0
0.963675,1.111984,0.727844,0.38414,7.020771,1.360403,0
11.596435,12.217712,10.99968,1.218033,-1.757917,0.162753,0
0.813303,0.962067,0.515747,0.44632,4.444969,1.105009,0
11.305157,11.563492,11.074448,0.489044,-0.705041,0.404741,0
0.963717,1.111984,0.727844,0.38414,7.068805,1.345097,0
1.283431,1.433563,0.912094,0.521469,5.222272,1.192885,0
5.696428,5.950928,5.375671,0.575256,-1.072494,-0.191723,0
0.980117,1.111603,0.761795,0.349808,4.548472,1.057328,0
5.346022,5.460739,5.078888,0.381851,-1.105308,0.361116,0
0.967012,1.093674,0.72937,0.364304,4.587272,1.113659,0
11.294214,11.563492,11.047745,0.515747,-0.664754,0.32939,0
1.312177,1.502991,1.056671,0.44632,1.908758,0.743628,0
0.782215,0.915527,0.489426,0.426102,5.918841,1.171865,0
1.290968,1.454163,0.912094,0.542068,4.812892,1.273162,0
0.826572,0.97847,0.636292,0.342178,2.562829,1.120241,0
1.655651,1.768875,1.320267,0.448608,3.72382,0.739591,0
1.817515,2.064514,1.421738,0.642776,-0.923407,0.139718,0
11.178634,11.327744,10.982895,0.344849,0.170224,0.269497,0
5.406017,5.540085,5.205154,0.33493,-1.413829,0.078407,0
0.969998,1.111603,0.637436,0.474167,2.588905,0.217179,0
5.980518,6.15387,5.626297,0.527573,0.915391,0.181351,0
1.654635,1.768875,1.320267,0.448608,3.874925,0.827871,0
0.788617,0.933075,0.507355,0.42572,4.494153,1.021903,0
11.847185,12.217712,11.058426,1.159286,0.277275,-1.231185,0
0.863547,1.018524,0.615311,0.403214,0.297562,0.035765,0
5.634647,5.950928,5.375671,0.575256,-0.415455,0.668669,0
5.512561,5.620193,5.24025,0.379944,-0.390416,-0.512088,0
0.776447,0.905228,0.489426,0.415802,4.955644,1.067065,0
11.718302,12.287521,11.312866,0.974655,-0.930456,0.528009,0
0.787685,0.933075,0.507355,0.42572,4.603678,1.042933,0
5.500944,5.620193,5.24025,0.379944,-1.256378,-0.061559,0
1.282139,1.433563,0.912094,0.521469,4.9741,1.128011,0
0.779884,0.905228,0.489426,0.415802,5.691026,1.145188,0
0.78394,0.915527,0.507355,0.408173,4.797176,1.194581,0
2.238861,2.737808,1.535034,1.202774,-1.374247,-0.463207,0
11.610606,12.217712,10.99968,1.218033,-1.777079,0.097016,0
5.985987,6.162643,5.626297,0.536346,0.397136,0.40284,0
5.714205,5.950928,5.375671,0.575256,-0.700658,-0.40361,0
5.737946,5.950928,5.375671,0.575256,0.699546,-0.587845,0
0.796948,0.933075,0.58136,0.351715,3.174386,0.905389,0
11.18027,11.327744,10.982895,0.344849,0.510562,0.537372,0
2.346958,2.737808,1.695633,1.042175,-0.091955,-1.08929,0
11.497139,11.891556,11.168289,0.723267,-1.057702,0.306516,0
1.256624,1.402664,0.951385,0.451279,5.50118,1.377545,0
0.767812,0.905228,0.489426,0.415802,3.229946,0.898005,0
2.043973,2.737808,1.535034,1.202774,-1.399607,0.405081,0
5.505286,5.620193,5.24025,0.379944,-1.134603,-0.215673,0
0.846309,1.015091,0.615311,0.39978,-0.017355,0.475605,0
0.809861,0.962067,0.515747,0.44632,4.272898,0.946502,0
11.201689,11.36322,10.982895,0.380325,-0.208011,0.460382,0
0.797482,0.933075,0.58136,0.351715,3.073625,0.905827,0
11.186292,11.327744,10.982895,0.344849,-0.111361,0.376741,0
0.81428,0.962067,0.515747,0.44632,4.54292,1.125321,0
1.751455,1.98288,1.421738,0.561142,-1.232479,0.137871,0
0.865792,1.026154,0.615311,0.410843,0.504251,0.004894,0
11.892892,12.217712,11.197662,1.02005,1.378488,-1.372393,0
11.672536,12.217712,10.99968,1.218033,-1.733114,-0.20565,0
0.761477,0.896835,0.489426,0.40741,3.236193,0.95485,0
0.871535,1.026154,0.615311,0.410843,1.151943,0.035868,0
11.237081,11.420059,10.982895,0.437164,-0.898101,0.425462,0
